asset_type,name,artist,art_date,structure,latitude,longitude,clue_area
Art,Art Wall,Peter D. Cole,2000,3D Installation,-37.8156948270259,144.946202651563,Docklands
Art,IOU,Mikala Dwyer,2005,Stainless steel and toughened glass,-37.8200830017644,144.947894374833,Other
Art,Weathervanes,Daniel Jenkins,1993,Hand-beaten copper sculpture with gold-leaf detail,-37.8135755457342,144.965751391423,Melbourne (CBD)
Art,Weathervanes,Daniel Jenkins,1993,Hand-beaten copper sculpture with gold-leaf detail,-37.8136266014549,144.965579210749,Melbourne (CBD)
Art,Outside Inside Out,Matthew McCarthy,2006,Mural,-37.814359230579,144.941130138162,Docklands
Monument,Man with the Donkey,Wallace Anderson,1935,Cast bronze statue on granite pedestal,-37.8294820404839,144.973858477761,Southbank
Art,Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.8202194220305,144.959168439493,Southbank
Monument,Marquis of Linlithgow,William Birnie Rhind,1911,Bronze statue with granite pedestal,-37.8266640358872,144.971916610826,Southbank
Art,Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.820084055671,144.959593881825,Southbank
Monument,Edward George Honey Memorial,unknown,1965,Stone boulder with bronze and aluminium plaque,-37.8297554405406,144.974419726206,Southbank
Art,Silence,Adrian Mauriks,2003,Sculpture,-37.8151070586048,144.941546516146,Docklands
Art,"Another View, Site 17",Ray Thomas,1994-1995,Bluestone paver with brass inlay,-37.8148051249324,144.968381003481,Melbourne (CBD)
Art,Ned and Dan,Alexander Knox,2006,Three-dimensional frieze,-37.81464277494,144.940402722846,Docklands
Art,HeartLand,Karen Casey,2003,Animated Image,-37.8243371974094,144.947619116755,Other
Fountain,Georges Fountain,Peter Staughton,1981,Bluestone and concrete fountain,-37.8147653368517,144.968373912562,Melbourne (CBD)
Art,Constellation,Bruce Armstrong and Geoffrey Bartlett,1996,"Stainless steel, copper and Cyrpus-pine sculpture",-37.8202999349125,144.960534464342,Southbank
Art,Eagle,Bruce Armstrong,2003,Sculpture,-37.8207247436456,144.952391322514,Southbank
Art,Model Tudor Village,Edgar Wilson,1948,Painted cement model,-37.8132572520671,144.981012379899,Southbank
Art,Chinese Lion Guardians,unknown,unknown,Marble lions,-37.8112537359422,144.969347727216,Melbourne (CBD)
Art,Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.8200950553396,144.95952896712,Southbank
Art,Federation Bells,Designers Neil McLachlan and Anton Hasell,2002,Bronze-alloy bells on galvanised-steel poles,-37.8186973319473,144.974158800684,Melbourne (CBD)
Monument,William Ievers Senior Memorial Drinking Fountain,Charles Douglas Richardson,1915,"Granite, marble and bluestone drinking fountain",-37.8028341939653,144.966385536842,Melbourne (CBD)
Art,Apollo Belvedere,unknown,unknown,Marble and granite bust,-37.8210593434182,144.969757432433,Southbank
Art,Constellation,Bruce Armstrong and Geoffrey Bartlett,1996,"Stainless steel, copper and Cyrpus-pine sculpture",-37.8202460956887,144.960662536874,Southbank
Art,Painted Poles,Maree Clarke and Sonja Hodge,1992,Metal poles,-37.815760994936,144.966773537312,Melbourne (CBD)
Art,Federation Bells,Designers Neil McLachlan and Anton Hasell,2002,Bronze-alloy bells on galvanised-steel poles,-37.8187182202074,144.974179856228,Melbourne (CBD)
Monument,George Hawkins Ievers Memorial Drinking Fountain,Charles Douglas Richardson,1916,"Granite, marble and bluestone drinking fountain",-37.7921729538839,144.958090253028,Parkville
Art,IOU,Mikala Dwyer,2005,Stainless steel and toughened glass,-37.820112083979,144.947923460104,Other
Art,Ned and Dan,Alexander Knox,2006,Three-dimensional frieze,-37.8148030334672,144.940223820648,Docklands
Art,Diana and the Hounds,Sculptor William Leslie Bowles; founder A.B. Brunton,1940,Cast bronze statue on granite pedestal,-37.8143067586398,144.978499373084,Melbourne (CBD)
Monument,Pioneer Women's Memorial,Hugh Linaker,1934,Memorial garden with bronze statue,-37.8251147378564,144.976076213311,Southbank
