base_property_id,census_year,name,business_address,industry_code,industry_desc,seating_type,number_of_seats,latitude,longitude,clue_area
105698,2023,Tetsujin,Shop M04 287 Lonsdale Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,100,-37.81247035035,144.96392893701363,Melbourne (CBD)
109292,2023,Dodee Paidang Thai Street Food,Ground 245 Swanston Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,24,-37.8123009589,144.9647362546334,Melbourne (CBD)
109295,2023,China Bar,257-259 Swanston Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,120,-37.8121141066,144.9646472828506,Melbourne (CBD)
109296,2023,Dooboo Korean Tofu House,261-263 Swanston Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,100,-37.81206228785,144.96462537195418,Melbourne (CBD)
101783,2023,Supper Inn Chinese Restaurant,15-17 Celestial Avenue MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,70,-37.81188096765,144.96613021327727,Melbourne (CBD)
104780,2023,Niubi,Ground & Level 1- 3 11 Heffernan Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,98,-37.8118537591,144.96661320017887,Melbourne (CBD)
105878,2023,By Korea,"Unit 1, Ground 15 Tattersalls Lane MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,45,-37.81209405621503,144.96558664045,Melbourne (CBD)
105881,2023,Mao Please,214-216 Little Bourke Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,120,-37.81204778231875,144.96621799755002,Melbourne (CBD)
108552,2023,Nam Loong,223 Russell Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,50,-37.81140837375,144.96716624913049,Melbourne (CBD)
108555,2023,Stalactites Restaurant,177-183 Lonsdale Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,15,-37.81111923365,144.96703695126735,Melbourne (CBD)
109389,2023,Shan Cheng Wai Fish And Pickles,Shop Ground 268 Swanston Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,28,-37.811694499850006,144.96509402739338,Melbourne (CBD)
109436,2023,Section 8 Bar,27-29 Tattersalls Lane MELBOURNE VIC 3000,4520,"Pubs, Taverns and Bars",Seats - Outdoor,40,-37.8117616219,144.96538955066575,Melbourne (CBD)
