base_property_id,census_year,name,business_address,number_of_patrons,latitude,longitude,clue_area
105919,2023,Bar Americano,20 Presgrave Place MELBOURNE VIC 3000,10,-37.814831977068074,144.9656017104,Melbourne (CBD)
102161,2023,Handpicked Urban Cellar Door Melbourne,8 Benson Walk MELBOURNE VIC 3000,353,-37.81363930815,144.9706863215771,Melbourne (CBD)
101165,2023,V Wine Salon,Part Rear Ground & Part Ground 673 Bourke Street MELBOURNE VIC 3000,70,-37.8172183934914,144.9541002451,Melbourne (CBD)
108068,2023,CitiClub On Queen Hotel,"Pt Gnd & Lvl 1, Level 2-7 113 Queen Street MELBOURNE VIC 3000",940,-37.81581228435,144.96063602022025,Melbourne (CBD)
108068,2023,DaHa Bar Lounge & Club,Level 15 123 Queen Street MELBOURNE VIC 3000,200,-37.81581228435,144.96063602022025,Melbourne (CBD)
108069,2023,The Turf Accountants,"Unit 1, LwrGround 131 Queen Street MELBOURNE VIC 3000",527,-37.8154953739,144.96053353722417,Melbourne (CBD)
105831,2023,Bodega Underground,"Shop 2, 47-55 Little Bourke Street MELBOURNE VIC 3000",60,-37.81102403390212,144.9711096464,Melbourne (CBD)
105716,2023,The Melbourne Mens Gallery,597-603 Lonsdale Street MELBOURNE VIC 3000,675,-37.814945781196954,144.95449168755,Melbourne (CBD)
105867,2023,Denmark House,"Suite 301, Level 3 428 Little Bourke Street MELBOURNE VIC 3000",100,-37.813924256243226,144.95972661730002,Melbourne (CBD)
105695,2023,Ferdydurke,Level 1-2 239 Lonsdale Street MELBOURNE VIC 3000,100,-37.81159432758615,144.96537788535,Melbourne (CBD)
105749,2023,Idarts Hive,243 Little Lonsdale Street MELBOURNE VIC 3000,100,-37.81067861705,144.965725053002,Melbourne (CBD)
108573,2023,Melbourne Whisky Room,Level 1 270A Russell Street MELBOURNE VIC 3000,50,-37.81011057515,144.96716401209824,Melbourne (CBD)
580091,2023,Little Lon Distilling Co,17 Casselden Place MELBOURNE VIC 3000,30,-37.809196151079576,144.97072895345,Melbourne (CBD)
105748,2023,Her Bar,"Ground & Part Level 2, 268-270 Lonsdale Street, MELBOURNE VIC 3000",40,-37.81148566819091,144.96414510925,Melbourne (CBD)
105490,2023,Pearson And Murphy's Cafe,"Part Building 1, Ground 124 La Trobe Street MELBOURNE VIC 3000",156,-37.80821791505,144.96458869234556,Melbourne (CBD)
104461,2023,the Prince Alfred Rooftop and Bar,Prince Alfred Hotel 191-197 Grattan Street CARLTON VIC 3053,492,-37.80045758588996,144.96220861044998,Carlton
106238,2023,Players On Lygon,Ground 200 Lygon Street CARLTON VIC 3053,200,-37.8024641156,144.9670957081052,Carlton
106244,2023,Vodka Temple,160-162 Lygon Street CARLTON VIC 3053,195,-37.803441274449995,144.96677026349136,Carlton
106251,2023,Lord Lygon Wine Shop & Bar,Part Ground 66 Lygon Street CARLTON VIC 3053,80,-37.80530314955,144.9665746353691,Carlton
106254,2023,Common Rooms At Trades Hall,Part Ground 54 Victoria Street CARLTON VIC 3053,174,-37.806440108077425,144.96641240315,Carlton
108876,2023,McMahons Hotel,McMahon's Hotel 573-579 Spencer Street WEST MELBOURNE VIC 3003,160,-37.80740715385,144.94698888542996,West Melbourne (Residential)
110484,2023,Novotel Melbourne South Wharf,Novotel Melbourne South Wharf Hotel 7 Convention Centre Place SOUTH WHARF VIC 3006,50,-37.8254299844,144.95231929429832,Southbank
108054,2023,Mesh,Part Ground 1-25 Whiteman Street SOUTHBANK VIC 3006,250,-37.8239807098,144.96001926803643,Southbank
628712,2023,Bar Nacional,"Tenancy 47, Ground 727 Collins Street DOCKLANDS VIC 3008",75,-37.820702787550005,144.95011811002945,Docklands
593739,2023,Igloo Cafe & St Moritz Bar,Part Ground & Pt Mezzanine 1 105 Pearl River Road DOCKLANDS VIC 3008,100,-37.81213814697328,144.9356314462,Docklands
110184,2012,The Melbourne RSL,27-0 Windsor Place MELBOURNE 3000,240,-37.81194668805,144.97249159363227,Melbourne (CBD)
103293,2007,Stork Hotel,502-504 Elizabeth Street MELBOURNE 3000,180,-37.80718226960321,144.9602753362627,Melbourne (CBD)
103964,2008,Manchester Lane,36 Manchester Lane MELBOURNE 3000,250,-37.816421623052754,144.9661997631,Melbourne (CBD)
103985,2012,Bertha Brown,"Ground , 562-564 Flinders Street MELBOURNE 3000",270,-37.820595115918415,144.95563480894998,Melbourne (CBD)
108972,2012,Pensione Hotel Melbourne,10-22 Spencer Street MELBOURNE 3000,50,-37.8205093017,144.9552446783497,Melbourne (CBD)
105852,2017,The Apartment Restaurant Club Lounge,"LwrGround , 405 Little Bourke Street MELBOURNE 3000",250,-37.814032806001194,144.9610341175,Melbourne (CBD)
108550,2017,Escape City,"Level 1, 217 Russell Street MELBOURNE 3000",100,-37.81156147555,144.96723626336993,Melbourne (CBD)
103921,2018,Papa Goose / Mary Fortune Cocktail Bar,91 Flinders Lane MELBOURNE 3000,440,-37.81541282961696,144.97121779675,Melbourne (CBD)
106037,2019,Alchemist's Refuge,"Basement , 324-328 Little Lonsdale Street MELBOURNE 3000",60,-37.8116745095178,144.9599405236,Melbourne (CBD)
103944,2021,The Mill House Bar,"Unit 1, Basement 277 Flinders Lane MELBOURNE VIC 3000",400,-37.81724060801719,144.96529756195,Melbourne (CBD)
102064,2021,Harley House,Basement 71 Collins Street MELBOURNE VIC 3000,210,-37.81434422060704,144.97134923095,Melbourne (CBD)
110401,2022,Urban Central Accommodation,Pt Ground & Levels 1-5 334-342 City Road SOUTHBANK VIC 3006,290,-37.8278377219,144.9573512903071,Southbank
101099,2023,Bond Bar,Ground 20-24 Bond Street MELBOURNE VIC 3000,500,-37.81814585805,144.9630578698032,Melbourne (CBD)
105937,2023,Civico 23,23 Bank Place MELBOURNE VIC 3000,80,-37.816395712,144.96009729851846,Melbourne (CBD)
101136,2023,Comedy Republic,Level 1-2 231 Bourke Street MELBOURNE VIC 3000,150,-37.81343594634778,144.9668412273,Melbourne (CBD)
105964,2023,Gin Palace,10 Russell Place MELBOURNE VIC 3000,150,-37.81390744936704,144.9675811687,Melbourne (CBD)
108536,2023,The Crafty Squire,115-127 Russell Street MELBOURNE VIC 3000,414,-37.81368233014109,144.96815337114998,Melbourne (CBD)
111394,2023,Bar Ampere,16 Russell Place MELBOURNE VIC 3000,60,-37.813539026856645,144.9674365318,Melbourne (CBD)
105968,2023,Magic Mountain Saloon,62-66 Little Collins Street MELBOURNE VIC 3000,285,-37.81280974337804,144.971441857,Melbourne (CBD)
108538,2023,Sky Lounge KTV,Level 1 163-165 Russell Street MELBOURNE VIC 3000,300,-37.8124662829,144.9676472887188,Melbourne (CBD)
105829,2023,Juliet Melbourne,Basement 37-41 Little Bourke Street MELBOURNE VIC 3000,100,-37.810836007199995,144.97150588717997,Melbourne (CBD)
105878,2023,Shanghai Club,"Unit 1, Ground 242 Little Bourke Street MELBOURNE VIC 3000",209,-37.81209405621503,144.96558664045,Melbourne (CBD)
105755,2023,Caretakers Cottage,Ground Sexton's Cottage Wesley Uniting Church 139-141 Little Lonsdale Street MELBOURNE VIC 3000,50,-37.80994367235,144.96817418196383,Melbourne (CBD)
105746,2023,B Lucky and Sons,"Shop 307, Level 3 300 Lonsdale Street MELBOURNE VIC 3000",200,-37.8109017475,144.96283887063584,Melbourne (CBD)
105746,2023,Diesel Bar,202 Little Lonsdale Street MELBOURNE VIC 3000,375,-37.8109017475,144.96283887063584,Melbourne (CBD)
105746,2023,Melbourne Central Lion Hotel,"Shop 303, Level 3 300 Lonsdale Street MELBOURNE VIC 3000",550,-37.8109017475,144.96283887063584,Melbourne (CBD)
105748,2023,Her Rooftop,Level 4 270 Lonsdale Street MELBOURNE VIC 3000,120,-37.81148566819091,144.96414510925,Melbourne (CBD)
105493,2023,Karaoke Box Hit Studio,52 La Trobe Street MELBOURNE VIC 3000,300,-37.80828526461921,144.96724634790002,Melbourne (CBD)
108561,2023,Pachanga,Part Ground 380 Russell Street MELBOURNE VIC 3000,170,-37.80749393235,144.96610530439278,Melbourne (CBD)
101593,2023,Hotel Lincoln,Lincoln Hotel 91 Cardigan Street CARLTON VIC 3053,154,-37.8044853162,144.96450570186147,Carlton
109822,2023,Prudence Bar,368 Victoria Street NORTH MELBOURNE VIC 3051,80,-37.80543435891152,144.95405415829998,North Melbourne
100820,2023,Henry Street Brewhouse,"Unit 5, 38 Barrett Street KENSINGTON VIC 3031",75,-37.7981034066,144.93431731836228,Kensington
110484,2023,Tessie Pearl Hotel,Shop TG05 31 Dukes Walk SOUTH WHARF VIC 3006,150,-37.8254299844,144.95231929429832,Southbank
110389,2023,The Green Room,262 City Road SOUTHBANK VIC 3006,100,-37.8259159307,144.95949664282836,Southbank
102503,2023,Botanical Hotel,169 Domain Road SOUTH YARRA VIC 3141,245,-37.83431689295,144.98169999186757,South Yarra
558180,2023,Melbourne Stadiums Limited,Marvel Stadium 740 Bourke Street DOCKLANDS VIC 3008,5000,-37.8167419748,144.94756023478496,Docklands
100514,2004,North Melbourne Football Club Social Club,33 Arden Street NORTH MELBOURNE 3051,210,-37.79888820561025,144.9413101818877,North Melbourne
108058,2007,The Bliss Lounge,"Basement , 11 Queen Street MELBOURNE 3000",210,-37.81862081553311,144.9619565192058,Melbourne (CBD)
101219,2010,Bass Lounge,"Suite 12, Basement , 108 Bourke Street MELBOURNE 3000",350,-37.811726796048845,144.96976088525,Melbourne (CBD)
107890,2011,Royal Park Hotel/Pub,399-405 Queensberry Street NORTH MELBOURNE 3051,114,-37.80378744545,144.95431461865493,North Melbourne
108456,2011,Naughtons Hotel,43-49 Royal Parade PARKVILLE 3052,350,-37.79554428575,144.95753197405145,Parkville
108052,2012,Story,"Level 1, 133 Queens Bridge Street SOUTHBANK 3006",120,-37.82526180655,144.96050441636524,Southbank
100441,2013,Railway Hotel,118-126 Ireland Street WEST MELBOURNE 3003,241,-37.80607291495,144.94210293192347,West Melbourne (Residential)
109706,2015,Jawa Bar,297 Victoria Street WEST MELBOURNE 3003,40,-37.80564242105,144.95137608599526,West Melbourne (Residential)
102102,2016,State of Grace,"Part Ground , 477 Collins Street MELBOURNE 3000",200,-37.81841762805868,144.95855671707193,Melbourne (CBD)
103947,2017,Sebel Melbourne - Flinders Lane,321 Flinders Lane MELBOURNE 3000,60,-37.81773165451008,144.96375568035,Melbourne (CBD)
106018,2019,Horse Bazaar,"Ground , 397 Little Lonsdale Street MELBOURNE 3000",158,-37.81190053745877,144.9602499735,Melbourne (CBD)
103984,2021,Ubar,8 Spencer Street MELBOURNE VIC 3000,128,-37.82071127185,144.95533640614002,Melbourne (CBD)
