description,latitude,longitude,clue_area
Treated Timber Drinking Fountain - Shrine Gardens,-37.83210001827241,144.975544260503,Other
Stainless Steel Drinking Fountain - Leaf Type,-37.811184402608355,144.9751861982011,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type,-37.81942840031672,144.94578822758686,Docklands
Treated Timber Drinking Fountain - Alexandra Park,-37.82760195838954,144.9819469602272,Southbank
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.803371100927336,144.96636401763817,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type,-37.813892178607055,144.9641120868484,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.82120300569749,144.9464400812558,Other
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81553989313365,144.95836642425357,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type - Argyle Square,-37.80262121799853,144.96563804631617,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type - Princes Park,-37.78462350014393,144.96015661193692,Parkville
Leaf Type - With Bottle Refill Tap - Alexandra Gardens,-37.82055140792857,144.9731742469266,Southbank
Stainless Steel Drinking Fountain - Leaf Type,-37.81536210793982,144.97970486535712,Melbourne (CBD)
Urban design stainless steel,-37.79337819173264,144.94004830856508,North Melbourne
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.799615873678334,144.96425054146184,Parkville
Stainless Steel Drinking Fountain - Leaf Type,-37.80750643106099,144.9685049927858,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type - Royal Park,-37.780205363639304,144.95293574839906,Parkville
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.78297956185507,144.9418702885437,Other
Leaf Type - With Bottle Refill Tap - Royal Park,-37.79542994425931,144.95202812794676,Parkville
Stainless Steel Drinking Fountain - Old Docklands Type,-37.82114510296565,144.9429836641702,Other
Stainless Steel Drinking Fountain - Leaf Type - Argyle Square,-37.80225790808832,144.96613628041044,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81600551227767,144.9651330881475,Melbourne (CBD)
