name,artist,art_date,address,category,latitude,longitude
Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,"Enterprize Park, MELBOURNE",Art,-37.8200830248455,144.959725218101
Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,"Enterprize Park, MELBOURNE",Art,-37.8201002457889,144.959733080966
Within Three Worlds,Loretta Quinn,1995,"684 Park Street, CARLTON NORTH",Art,-37.7789311799623,144.961158146237
Sir Thomas Blamey Memorial,Raymond B. Ewers,1960,"262 St Kilda Road, SOUTHBANK",Monument,-37.8263011410214,144.972818912121
Aurora,Geoffrey Bartlett,2005,"96 Harbour Esplanade, DOCKLANDS",Art,-37.8186937927645,144.946856332947
Australia Today and Tomorrow,Karl Duldig,1970,"152 Clarendon Street, EAST MELBOURNE",Art,-37.8118220481066,144.982657048965
Federation Bells,Designers Neil McLachlan and Anton Hasell,2002,"Birrarung Marr, MELBOURNE",Art,-37.8186610069437,144.97413082954
Feng Shui,Guan Wei,2003,"698 Collins Street, DOCKLANDS",Art,-37.8198227493892,144.951104886543
Grant's Fountain,unknown,1901,"353 Exhibition Street, MELBOURNE",Fountain,-37.8074703867589,144.968593306036
Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,"Enterprize Park, MELBOURNE",Art,-37.8201003379632,144.959547579868
Grey Street Fountain,unknown,1863,"162 Clarendon Street, EAST MELBOURNE",Fountain,-37.8115435409616,144.982950898766
Boy and Urn,unknown,unknown,"4 Lansdowne Street, EAST MELBOURNE",Fountain,-37.8121217645873,144.97970321858
Federation Bells,Designers Neil McLachlan and Anton Hasell,2002,"Birrarung Marr, MELBOURNE",Art,-37.8187023628084,144.974201916576
Conservatory Fountain,unknown,c. 1900,"Conservatory, Fitzroy Gardens, 274 Wellington Parade, EAST MELBOURNE",Fountain,-37.8138743431045,144.978595506099
Blowhole,Duncan Stemler,2005,"13 Harbour Esplanade, DOCKLANDS",Art,-37.8219853561923,144.946774675143
Art Wall,Peter D. Cole,2000,"156 Harbour Esplanade, DOCKLANDS",Art,-37.8158205285983,144.946136474106
Art Wall,Peter D. Cole,2000,"160 Harbour Esplanade, DOCKLANDS",Art,-37.8156948270259,144.946202651563
IOU,Mikala Dwyer,2005,"9 Waterview Walk, DOCKLANDS",Art,-37.8200830017644,144.947894374833
Weathervanes,Daniel Jenkins,1993,"178 Swanston Street, MELBOURNE",Art,-37.8135755457342,144.965751391423
Weathervanes,Daniel Jenkins,1993,"271 Bourke Street, MELBOURNE",Art,-37.8136266014549,144.965579210749
Outside Inside Out,Matthew McCarthy,2006,"27 Caravel Lane, DOCKLANDS",Art,-37.814359230579,144.941130138162
Man with the Donkey,Wallace Anderson,1935,"Shrine Of Remembrance Reserve, St Kilda Road, MELBOURNE",Monument,-37.8294820404839,144.973858477761
Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,"Enterprize Park, MELBOURNE",Art,-37.8202194220305,144.959168439493
Marquis of Linlithgow,William Birnie Rhind,1911,"268 St Kilda Road, SOUTHBANK",Monument,-37.8266640358872,144.971916610826
Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,"Enterprize Park, MELBOURNE",Art,-37.820084055671,144.959593881825
Edward George Honey Memorial,unknown,1965,"Old Observatory Site, Birdwood Avenue, MELBOURNE",Monument,-37.8297554405406,144.974419726206
Silence,Adrian Mauriks,2003,"55B Newquay Promenade, DOCKLANDS",Art,-37.8151070586048,144.941546516146
"Another View, Site 17",Ray Thomas,1994-1995,"154 Collins Street, MELBOURNE",Art,-37.8148051249324,144.968381003481
Ned and Dan,Alexander Knox,2006,"41 Caravel Lane, DOCKLANDS",Art,-37.81464277494,144.940402722846
HeartLand,Karen Casey,2003,"52 River Esplanade, DOCKLANDS",Art,-37.8243371974094,144.947619116755
Georges Fountain,Peter Staughton,1981,"152 Collins Street, MELBOURNE",Fountain,-37.8147653368517,144.968373912562
Constellation,Bruce Armstrong and Geoffrey Bartlett,1996,"469 Flinders Street, MELBOURNE",Art,-37.8202999349125,144.960534464342
Eagle,Bruce Armstrong,2003,"22 Wurundjeri Way, DOCKLANDS",Art,-37.8207247436456,144.952391322514
Model Tudor Village,Edgar Wilson,1948,"Cook's Cottage, Fitzroy Gardens, 274 Wellington Parade, EAST MELBOURNE",Art,-37.8132572520671,144.981012379899
Chinese Lion Guardians,unknown,unknown,"Cohen Pl, CHINATOWN",Art,-37.8112537359422,144.969347727216
Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,"Enterprize Park, MELBOURNE",Art,-37.8200950553396,144.95952896712
Federation Bells,Designers Neil McLachlan and Anton Hasell,2002,"Birrarung Marr, MELBOURNE",Art,-37.8186973319473,144.974158800684
William Ievers Senior Memorial Drinking Fountain,Charles Douglas Richardson,1915,"155 Lygon Street, CARLTON",Monument,-37.8028341939653,144.966385536842
Apollo Belvedere,unknown,unknown,"90 St Kilda Road, SOUTHBANK",Art,-37.8210593434182,144.969757432433
Constellation,Bruce Armstrong and Geoffrey Bartlett,1996,"469 Flinders Street, MELBOURNE",Art,-37.8202460956887,144.960662536874
Painted Poles,Maree Clarke and Sonja Hodge,1992,"78 Swanston Street, MELBOURNE",Art,-37.815760994936,144.966773537312
Federation Bells,Designers Neil McLachlan and Anton Hasell,2002,"Birrarung Marr, MELBOURNE",Art,-37.8187182202074,144.974179856228
George Hawkins Ievers Memorial Drinking Fountain,Charles Douglas Richardson,1916,"147 Royal Parade, PARKVILLE",Monument,-37.7921729538839,144.958090253028
IOU,Mikala Dwyer,2005,"7 Waterview Walk, DOCKLANDS",Art,-37.820112083979,144.947923460104
Ned and Dan,Alexander Knox,2006,"16 Doepel Way, DOCKLANDS",Art,-37.8148030334672,144.940223820648
Diana and the Hounds,Sculptor William Leslie Bowles; founder A.B. Brunton,1940,"Conservatory, Fitzroy Gardens, 274 Wellington Parade, EAST MELBOURNE",Art,-37.8143067586398,144.978499373084
Pioneer Women's Memorial,Hugh Linaker,1934,"Kings Domain, Alexandra Avenue, MELBOURNE",Monument,-37.8251147378564,144.976076213311
Painted Poles,Maree Clarke and Sonja Hodge,1992,"78 Swanston Street, MELBOURNE",Art,-37.8157410618987,144.966836246828
