trading_name,business_address,num_patrons,longitude,latitude,clue_area,capacity_category,census_year
Bennetts Lane Jazz Club,25 Bennetts Lane MELBOURNE 3000,300,144.96755702107387,-37.80889190335,Melbourne (CBD),Large (150+),2018
Rumour Restaurant Bar & Lounge,38 City Road SOUTHBANK 3006,100,144.96191853638004,-37.823835739,Southbank,Medium (50-149),2018
Mural Hall,Part Level 6 314-336 Bourke Street MELBOURNE VIC 3000,900,144.96382711175,-37.813447730023114,Melbourne (CBD),Large (150+),2021
Romeo Lane,4 Crossley Street MELBOURNE VIC 3000,99,144.97136417975338,-37.81155874855,Melbourne (CBD),Medium (50-149),2021
Gami Training Centre,100 Little Lonsdale Street MELBOURNE VIC 3000,73,144.96871967434998,-37.80913718523746,Melbourne (CBD),Medium (50-149),2021
Zinc,"Tenancy 18, Zinc 2 Swanston Street MELBOURNE VIC 3000",1000,144.96994164279243,-37.817777826050005,Melbourne (CBD),Large (150+),2023
The Sherlock Holmes Inn,Gnd & Bmt 417 Collins Street MELBOURNE VIC 3000,131,144.96086833885,-37.81746943542926,Melbourne (CBD),Medium (50-149),2023
Mitre Tavern,Mitre Tavern 5-9 Bank Place MELBOURNE VIC 3000,300,144.96028846791666,-37.8168041117,Melbourne (CBD),Large (150+),2023
The Charles Dickens Tavern,Part Basement 290 Collins Street MELBOURNE VIC 3000,450,144.96434075395388,-37.81552770375,Melbourne (CBD),Large (150+),2023
Max Watt's,Gnd & Bmt 125 Swanston Street MELBOURNE VIC 3000,800,144.96579902757662,-37.8147224869,Melbourne (CBD),Large (150+),2023
The Butterfly Club,Level 1-3 256 Collins Street MELBOURNE VIC 3000,190,144.96529077485002,-37.815523727614426,Melbourne (CBD),Large (150+),2023
Nick & Nora's,11 Benson Walk MELBOURNE VIC 3000,476,144.9706863215771,-37.81363930815,Melbourne (CBD),Large (150+),2023
Mail Exchange Hotel,Part Basement 688 Bourke Street MELBOURNE VIC 3000,600,144.95359044056096,-37.8166305854,Melbourne (CBD),Large (150+),2023
Murmur Piano Bar,Level 1 15-19 Warburton Lane MELBOURNE VIC 3000,70,144.9618461375,-37.81381261652099,Melbourne (CBD),Medium (50-149),2023
Black Opal,191 Swanston Street MELBOURNE VIC 3000,200,144.96501083586128,-37.8130993046,Melbourne (CBD),Large (150+),2023
Ballers Clubhouse,Level 2-3 2 Coverlid Place MELBOURNE VIC 3000,1500,144.9685177241,-37.81195835501776,Melbourne (CBD),Large (150+),2023
Welcome Stranger,Ground 124-128 Bourke Street MELBOURNE VIC 3000,350,144.9692644013,-37.81206977061173,Melbourne (CBD),Large (150+),2023
The Elephant and Wheelbarrow,94-96 Bourke Street MELBOURNE VIC 3000,450,144.97024358695,-37.81191580692429,Melbourne (CBD),Large (150+),2023
Paris Cat Jazz Club,4-6 Goldie Place MELBOURNE VIC 3000,120,144.96082902837784,-37.81351796725,Melbourne (CBD),Medium (50-149),2023
Penny Blue,2 Driver Lane MELBOURNE VIC 3000,85,144.96312748625002,-37.81292588925007,Melbourne (CBD),Medium (50-149),2023
The Emerald Peacock,233 Lonsdale Street MELBOURNE VIC 3000,300,144.96554789574998,-37.81158038740586,Melbourne (CBD),Large (150+),2023
The Toff In Town,"Unit S3-S4, Level 2 252 Swanston Street MELBOURNE VIC 3000",342,144.965271426409,-37.81199286335,Melbourne (CBD),Large (150+),2023
Euro House,Ground 16-20 Corrs Lane MELBOURNE VIC 3000,200,144.96838532430027,-37.811129317600006,Melbourne (CBD),Large (150+),2023
Club W,Basement 420 Lonsdale Street MELBOURNE VIC 3000,100,144.95996379012394,-37.81268993125,Melbourne (CBD),Medium (50-149),2023
Whisky and Alement,Ground 270 Russell Street MELBOURNE VIC 3000,90,144.96716401209824,-37.81011057515,Melbourne (CBD),Medium (50-149),2023
Coopers Inn,"Shop 1, 242 Exhibition Street MELBOURNE VIC 3000",400,144.9699756013,-37.809415028369145,Melbourne (CBD),Large (150+),2023
Captain Melville,Mac's Hotel 34-38 Franklin Street MELBOURNE VIC 3000,355,144.96162023070002,-37.8075189651329,Melbourne (CBD),Large (150+),2023
