sensor_name,sensing_date,year,month,day_of_week,hour,total,is_weekend,latitude,longitude
LtB170_T,2025-09-03,2025,9,Wednesday,7,99,FALSE,-37.81172914,144.9682466
BirFed1120_T,2025-09-09,2025,9,Tuesday,17,347,FALSE,-37.8184141,144.97357915
Hammer1584_T,2025-10-02,2025,10,Thursday,12,1033,FALSE,-37.81970749,144.96795734
Lat526_T,2025-05-13,2025,5,Tuesday,8,209,FALSE,-37.813005,144.95160411
Swa123_T,2025-09-08,2025,9,Monday,15,2437,FALSE,-37.81487988,144.9660878
488Mac_T,2025-06-03,2025,6,Tuesday,22,4,FALSE,-37.79432415,144.92973378
ACMI_T,2025-05-29,2025,5,Thursday,3,3,FALSE,-37.81726338,144.96872809
Col700_T,2025-09-06,2025,9,Saturday,14,211,TRUE,-37.81982992,144.95102555
Fra118_T,2025-06-29,2025,6,Sunday,6,12,TRUE,-37.80841815,144.95906316
FliSS_T,2025-10-07,2025,10,Tuesday,8,645,FALSE,-37.81794046,144.96616678
LtB210_T,2025-07-07,2025,7,Monday,1,82,FALSE,-37.81237202,144.96550671
EntPark1671_T,2025-08-30,2025,8,Saturday,17,12,TRUE,-37.81996544,144.95981454
PriNW_T,2025-09-06,2025,9,Saturday,6,106,TRUE,-37.81874249,144.96787656
280Will_T,2025-04-29,2025,4,Tuesday,17,369,FALSE,-37.81246271,144.95690188
RMIT14_T,2025-04-29,2025,4,Tuesday,0,42,FALSE,-37.80767455,144.96309114
Lyg309_T,2025-09-21,2025,9,Sunday,17,398,TRUE,-37.79808192,144.96721013
Swa295_T,2025-05-16,2025,5,Friday,2,51,FALSE,-37.81101524,144.96429485
Swa295_T,2025-09-02,2025,9,Tuesday,21,1247,FALSE,-37.81101524,144.96429485
WebBN_T,2025-08-14,2025,8,Thursday,21,53,FALSE,-37.82293543,144.9471751
Lyg161_T,2025-08-25,2025,8,Monday,20,226,FALSE,-37.80169681,144.96658911
Swa148_T,2025-04-26,2025,4,Saturday,19,1237,TRUE,-37.81414075,144.96609379
Eli489_T,2025-06-01,2025,6,Sunday,10,1053,TRUE,-37.80740397,144.95987909
Fli114C_T,2025-06-08,2025,6,Sunday,22,61,TRUE,-37.81632783,144.97090512
261Will_T,2025-09-04,2025,9,Thursday,18,739,FALSE,-37.81295822,144.95678789
Eli124_T,2025-08-25,2025,8,Monday,10,1048,FALSE,-37.81512416,144.96371988
Col15_T,2025-06-08,2025,6,Sunday,2,16,TRUE,-37.81362543,144.97323591
574Qub_T,2025-07-17,2025,7,Thursday,9,61,FALSE,-37.80309992,144.94908064
Lon364_T,2025-06-22,2025,6,Sunday,14,969,TRUE,-37.81234775,144.96153311
Col620_T,2025-06-27,2025,6,Friday,14,1316,FALSE,-37.81887963,144.95449198
Col623_T,2025-06-23,2025,6,Monday,4,7,FALSE,-37.81909256,144.95452748
MCEC_T,2025-07-14,2025,7,Monday,3,4,FALSE,-37.82401776,144.95604426
474Fl_T,2025-06-18,2025,6,Wednesday,23,49,FALSE,-37.81997273,144.95834911
Spen475_T,2025-09-15,2025,9,Monday,12,69,FALSE,-37.80953359,144.94939004
King2_T,2025-07-06,2025,7,Sunday,13,279,TRUE,-37.82009057,144.95758725
Spen201_T,2025-09-30,2025,9,Tuesday,5,131,FALSE,-37.81694221,144.95303935
King335_T,2025-08-18,2025,8,Monday,14,224,FALSE,-37.81267639,144.95386444
King335_T,2025-09-06,2025,9,Saturday,11,285,TRUE,-37.81267639,144.95386444
BirBridge_T,2025-08-09,2025,8,Saturday,11,38,TRUE,-37.81757416,144.97329934
QVN_T,2025-04-22,2025,4,Tuesday,8,539,FALSE,-37.81057846,144.96444294
ElFi_T,2025-04-22,2025,4,Tuesday,18,2306,FALSE,-37.81798049,144.96503383
ElFi_T,2025-07-31,2025,7,Thursday,20,1400,FALSE,-37.81798049,144.96503383
Errol20_T,2025-08-30,2025,8,Saturday,22,120,TRUE,-37.80456984,144.94946228
HarEsB_T,2025-09-28,2025,9,Sunday,14,111,TRUE,-37.81471642,144.9446508
FLDegN_T,2025-07-26,2025,7,Saturday,19,202,TRUE,-37.8168479,144.96559789
Bou292_T,2025-09-03,2025,9,Wednesday,1,36,FALSE,-37.81349441,144.96515323
Col620_T,2025-07-10,2025,7,Thursday,14,1432,FALSE,-37.81887963,144.95449198
Lon364_T,2025-06-25,2025,6,Wednesday,2,3,FALSE,-37.81234775,144.96153311
BirBridge_T,2025-07-11,2025,7,Friday,17,31,FALSE,-37.81753741,144.97329734
WebBN_T,2025-08-18,2025,8,Monday,21,25,FALSE,-37.82293543,144.9471751
Swa607_T,2025-04-20,2025,4,Sunday,7,29,TRUE,-37.804024,144.96308399
PriNW_T,2025-04-25,2025,4,Friday,6,1017,FALSE,-37.81874249,144.96787656
King335_T,2025-09-17,2025,9,Wednesday,14,217,FALSE,-37.81267639,144.95386444
Lat526_T,2025-09-12,2025,9,Friday,23,20,FALSE,-37.81304149,144.95155955
Lat526_T,2025-10-06,2025,10,Monday,10,73,FALSE,-37.81304149,144.95155955
Errol20_T,2025-08-07,2025,8,Thursday,11,179,FALSE,-37.80456984,144.94946228
Errol20_T,2025-09-01,2025,9,Monday,19,148,FALSE,-37.80456984,144.94946228
AlfPl_T,2025-08-30,2025,8,Saturday,19,26,TRUE,-37.81379749,144.96995745
FLDegS_T,2025-05-25,2025,5,Sunday,6,23,TRUE,-37.81688755,144.96562569
FLDegN_T,2025-05-20,2025,5,Tuesday,10,477,FALSE,-37.8168479,144.96559789
Col12_T,2025-07-09,2025,7,Wednesday,9,596,FALSE,-37.81344862,144.97305353
WatCit_T,2025-07-25,2025,7,Friday,20,34,FALSE,-37.81564989,144.93970694
UM2_T,2025-04-20,2025,4,Sunday,13,65,TRUE,-37.79844526,144.96411782
UM2_T,2025-06-09,2025,6,Monday,14,168,FALSE,-37.79844526,144.96411782
UM2_T,2025-08-08,2025,8,Friday,17,625,FALSE,-37.79844526,144.96411782
Swa148_T,2025-07-05,2025,7,Saturday,11,1039,TRUE,-37.81414075,144.96609379
280Will_T,2025-07-27,2025,7,Sunday,3,15,TRUE,-37.81246271,144.95690188
FLDegS_T,2025-07-26,2025,7,Saturday,16,1103,TRUE,-37.81688755,144.96562569
Col15_T,2025-10-14,2025,10,Tuesday,4,22,FALSE,-37.81362543,144.97323591
Col620_T,2025-05-09,2025,5,Friday,3,41,FALSE,-37.81887963,144.95449198
WatCit_T,2025-07-05,2025,7,Saturday,1,6,TRUE,-37.81564989,144.93970694
KenMac_T,2025-07-01,2025,7,Tuesday,7,36,FALSE,-37.79453803,144.93036194
Bou688_T,2025-09-10,2025,9,Wednesday,7,865,FALSE,-37.81686075,144.95358075
SouthB_T,2025-07-05,2025,7,Saturday,20,1624,TRUE,-37.82018685,144.96508508
Vic_T,2025-09-01,2025,9,Monday,11,174,FALSE,-37.80606888,144.95644692
Fli114F_T,2025-05-08,2025,5,Thursday,0,43,FALSE,-37.81629332,144.97090877
Errol20_T,2025-08-19,2025,8,Tuesday,6,19,FALSE,-37.80456984,144.94946228
ACMI_T,2025-09-08,2025,9,Monday,6,101,FALSE,-37.81726338,144.96872809
Eli263_T,2025-09-08,2025,9,Monday,4,12,FALSE,-37.81252157,144.9619401
Col623_T,2025-06-25,2025,6,Wednesday,8,1355,FALSE,-37.81909256,144.95452748
Fli114F_T,2025-10-14,2025,10,Tuesday,22,216,FALSE,-37.81629332,144.97090877
Swa123_T,2025-04-17,2025,4,Thursday,3,48,FALSE,-37.81487988,144.9660878
AlfPl_T,2025-04-25,2025,4,Friday,22,32,FALSE,-37.81379749,144.96995745
SanBri_T,2025-10-15,2025,10,Wednesday,16,849,FALSE,-37.82011242,144.96291897
Swa148_T,2025-05-02,2025,5,Friday,16,1293,FALSE,-37.81414075,144.96609379
Eli368_T,2025-07-27,2025,7,Sunday,0,476,TRUE,-37.81009465,144.96143149
Spencer_T,2025-09-15,2025,9,Monday,19,285,FALSE,-37.821728,144.95557015
QVMQ_T,2025-07-22,2025,7,Tuesday,20,108,FALSE,-37.80631581,144.95866697
Signal1647_T,2025-08-27,2025,8,Wednesday,7,142,FALSE,-37.81959923,144.9632832
AlfPl_T,2025-09-09,2025,9,Tuesday,16,145,FALSE,-37.81379749,144.96995745
Swa607_T,2025-06-03,2025,6,Tuesday,19,248,FALSE,-37.804024,144.96308399
UM3_T,2025-06-12,2025,6,Thursday,12,184,FALSE,-37.79698741,144.96441306
UM3_T,2025-08-31,2025,8,Sunday,7,12,TRUE,-37.79698741,144.96441306
Eli368_T,2025-10-10,2025,10,Friday,13,1955,FALSE,-37.81009465,144.96143149
Spen475_T,2025-09-27,2025,9,Saturday,6,13,TRUE,-37.80953359,144.94939004
Col15_T,2025-10-08,2025,10,Wednesday,21,139,FALSE,-37.81362543,144.97323591
FLDegN_T,2025-07-29,2025,7,Tuesday,17,413,FALSE,-37.8168479,144.96559789
AlfPl_T,2025-08-16,2025,8,Saturday,14,129,TRUE,-37.81379749,144.96995745
Swa295_T,2025-06-23,2025,6,Monday,20,543,FALSE,-37.81101524,144.96429485
HarEsB_T,2025-09-29,2025,9,Monday,18,82,FALSE,-37.81471642,144.9446508
HarEsP_T,2025-05-20,2025,5,Tuesday,17,559,FALSE,-37.81441438,144.94433026
Que85_T,2025-09-17,2025,9,Wednesday,5,19,FALSE,-37.81652527,144.96121062
