trading_name,business_address,industry_desc,seating_type,num_seats,longitude,latitude,clue_area,seating_category,has_outdoor,census_year
Dropout Chai Wala,Shop Ground 59 Elizabeth Street MELBOURNE VIC 3000,Takeaway Food Services,Seats - Indoor,8,144.96406922956277,-37.81683945895,Melbourne (CBD),Small (< 30 seats),FALSE,2023
Mensousai Mugen,11 Bligh Place MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,40,144.9635575789062,-37.8168391899,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Ginger Olive Restaurant and Grill,"Shop 2, Ground 234 Flinders Lane MELBOURNE VIC 3000",Cafes and Restaurants,Seats - Outdoor,35,144.9661997634,-37.81642162348794,Melbourne (CBD),Medium (30-99 seats),TRUE,2023
Sushi Hub Swanston,Ground 51 Swanston Street MELBOURNE VIC 3000,Takeaway Food Services,Seats - Indoor,42,144.96662326245,-37.81632686333168,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Uncle Collins St,Level 1 15 Collins Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,125,144.973354153,-37.81383602533761,Melbourne (CBD),Large (100+ seats),FALSE,2023
Dame Melbourne,"Shop 3, 45 Collins Street MELBOURNE VIC 3000",Cafes and Restaurants,Seats - Indoor,60,144.97262557265284,-37.81430518125,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Di Stasio Citta,45 Spring Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,85,144.97394786347434,-37.8141971859,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
McDonalds,92 Spencer Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,36,144.95435075675,-37.81867521100554,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Cafenatics On Church,"Shop 5R, 500 Collins Street MELBOURNE VIC 3000",Cafes and Restaurants,Seats - Indoor,47,144.9574758159,-37.81756267366522,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Terrace Deli,Part Ground 459 Little Collins Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Outdoor,32,144.95954996381323,-37.81660735525,Melbourne (CBD),Medium (30-99 seats),TRUE,2023
Koi Koi,"Shop 7, 360 Collins Street MELBOURNE VIC 3000",Cafes and Restaurants,Seats - Indoor,72,144.9621709685,-37.81616893999539,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Poked,"Shop 11, 360 Collins Street MELBOURNE VIC 3000",Takeaway Food Services,Seats - Indoor,14,144.9621709685,-37.81616893999539,Melbourne (CBD),Small (< 30 seats),FALSE,2023
Code Black,"Shop 8A, 360 Collins Street MELBOURNE VIC 3000",Cafes and Restaurants,Seats - Indoor,32,144.9621709685,-37.81616893999539,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Maniax Axe Throwing Melbourne CBD,Gnd & Bmt 121 Elizabeth Street MELBOURNE VIC 3000,Amusement and Other Recreational Activities n.e.c.,Seats - Indoor,100,144.96330054055,-37.815577516659154,Melbourne (CBD),Large (100+ seats),FALSE,2023
Oh Banh Mi,34 Equitable Place MELBOURNE VIC 3000,Takeaway Food Services,Seats - Outdoor,8,144.96330054055,-37.815577516659154,Melbourne (CBD),Small (< 30 seats),TRUE,2023
Royal St Collins,Shop G03-RG03 & Shop G03A-RG03A Ground 260 Collins Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,60,144.96489058625,-37.81538053384988,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Straight Outta Saigon,Ground 138-144 Russell Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,47,144.9684169991,-37.81298896430425,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
KFC,"Part Level 1, 205-207 Bourke Street MELBOURNE 3000",Cafes and Restaurants,Seats - Indoor,40,144.96744386580002,-37.81326379650648,Melbourne (CBD),Medium (30-99 seats),FALSE,2013
Taiwan Cafe,234 Little Bourke Street MELBOURNE 3000,Cafes and Restaurants,Seats - Indoor,80,144.96585873157022,-37.81223056078771,Melbourne (CBD),Medium (30-99 seats),FALSE,2004
Law Institute of Victoria,"Bmt- Level 7, 470 Bourke Street MELBOURNE 3000",Business and Professional Association Services,Seats - Indoor,70,144.95970563145795,-37.81469999003511,Melbourne (CBD),Medium (30-99 seats),FALSE,2003
Belleville,"Level 1, 234 Swanston Street MELBOURNE 3000",Cafes and Restaurants,Seats - Indoor,130,144.96542625763715,-37.81232960605,Melbourne (CBD),Large (100+ seats),FALSE,2019
Wing Loong Chinese Restaurant,512A-512B Elizabeth Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,60,144.96018647435,-37.80670866351882,Melbourne (CBD),Medium (30-99 seats),FALSE,2020
Koora120,Part 120-130 Southbank Boulevard SOUTHBANK VIC 3006,Cafes and Restaurants,Seats - Indoor,36,144.96649692066353,-37.8239920992,Southbank,Medium (30-99 seats),FALSE,2020
Darac,Ground 53 A'Beckett Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,44,144.9620739486,-37.809095631678616,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Phuoc Thanh Bakery,424 Spencer Street WEST MELBOURNE VIC 3003,Bakery Product Manufacturing (Non-factory based),Seats - Indoor,22,144.95058757339822,-37.81025678365,West Melbourne (Residential),Small (< 30 seats),FALSE,2023
Vincent The Dog,348 Drummond Street CARLTON VIC 3053,Cafes and Restaurants,Seats - Indoor,18,144.96926739314603,-37.797776574699995,Carlton,Small (< 30 seats),FALSE,2023
Lincoln Bakery Cafe,154 Bouverie Street CARLTON VIC 3053,Cafes and Restaurants,Seats - Outdoor,36,144.9627311041158,-37.80133607945,Carlton,Medium (30-99 seats),TRUE,2023
Master Fiery,"Shop 3, 743-751 Swanston Street CARLTON VIC 3053",Cafes and Restaurants,Seats - Indoor,40,144.96364221241186,-37.8006200339,Carlton,Medium (30-99 seats),FALSE,2023
Domino's Pizza,"Shop 2, Ground 121 Grattan Street CARLTON VIC 3053",Takeaway Food Services,Seats - Indoor,15,144.9651040686224,-37.800770727300005,Carlton,Small (< 30 seats),FALSE,2023
North Melbourne Takeaway,95 Dryburgh Street NORTH MELBOURNE VIC 3051,Takeaway Food Services,Seats - Outdoor,4,144.94285832770606,-37.80427853285,North Melbourne,Small (< 30 seats),TRUE,2023
Nahm Tao Thai Kitchen,348 Victoria Street NORTH MELBOURNE VIC 3051,Takeaway Food Services,Seats - Indoor,15,144.95476337399816,-37.80542600355,North Melbourne,Small (< 30 seats),FALSE,2023
MANG KORN Thai Restaurant,431 Macaulay Road KENSINGTON VIC 3031,Takeaway Food Services,Seats - Indoor,12,144.9324903863,-37.79496347880766,Kensington,Small (< 30 seats),FALSE,2023
Il Duca Restaurant,Part Ground 132 Wellington Parade EAST MELBOURNE VIC 3002,Cafes and Restaurants,Seats - Indoor,60,144.9855915327094,-37.81618525335,East Melbourne,Medium (30-99 seats),FALSE,2023
Slater St Bench,"Suite 8, Ground 431 St Kilda Road MELBOURNE VIC 3004",Cafes and Restaurants,Seats - Indoor,6,144.97705513732498,-37.838528591750006,Melbourne (Remainder),Small (< 30 seats),FALSE,2023
Protagonist,Adjacent Kiosk 100 St Kilda Road SOUTHBANK VIC 3006,Cafes and Restaurants,Seats - Outdoor,150,144.9681703081,-37.82094203724495,Southbank,Large (100+ seats),TRUE,2023
BearBrass,"Shop 21 & 3A, Ground 3 Southgate Avenue SOUTHBANK VIC 3006",Cafes and Restaurants,Seats - Indoor,96,144.96630308550658,-37.8207182429,Southbank,Medium (30-99 seats),FALSE,2023
